the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Location,Borough,Date_Insta,POINT_X,POINT_Y,FEMAFldz,FEMAFldT,HrcEvac,NTAname
POINT (-73.76851637712696 40.67288665284331),4,Queens,412,31,32,10,5,137 Avenue and 172 Street,Queens,04/06/2017,-73.76851638,40.67288665,X,AREA OF MINIMAL FLOOD HAZARD,4,Springfield Gardens (North)-Rochdale Village
POINT (-73.96102120117583 40.81764866442675),1,Manhattan,109,7,70,30,13,St Clair Place and 12th Avenue,Manhattan,10/05/2022,-73.9610212,40.81764866,X,AREA OF MINIMAL FLOOD HAZARD,5,Morningside Heights
POINT (-73.94181553537098 40.627314011992354),3,Brooklyn,318,45,41,21,9,Flatbush Avenue with Brooklyn Avenue and Avenue J,Brooklyn,12/23/2015,-73.94181563,40.62731359,X,AREA OF MINIMAL FLOOD HAZARD,5,Flatlands
POINT (-73.85519844744968 40.84225854975098),2,Bronx,211,13,80,33,14,East Tremont Avenue at Purdy Street,Bronx,07/29/2020,-73.85519845,40.84225855,X,AREA OF MINIMAL FLOOD HAZARD,,Pelham Parkway-Van Nest
POINT (-73.91678321683712 40.839882119101794),2,Bronx,204,16,77,32,15,East 170 Street and Townsend Avenue,Bronx,02/24/2023,-73.91678322,40.83988212,X,AREA OF MINIMAL FLOOD HAZARD,,Mount Eden-Claremont (West)
POINT (-73.85276638996874 40.88950597639192),2,Bronx,212,12,83,36,16,Bronxwood Avenue and East 230th Street,Bronx,03/10/2022,-73.85276635,40.88950549,X,AREA OF MINIMAL FLOOD HAZARD,,Wakefield-Woodlawn
POINT (-74.09258655462249 40.605140546172066),5,Staten Island,502,50,64,23,11,Richmond Road and Ralph Place,Staten Island,08/29/2022,-74.09258655,40.60514055,X,AREA OF MINIMAL FLOOD HAZARD,,Grasmere-Arrochar-South Beach-Dongan Hills
POINT (-73.96336167845075 40.61520457863879),3,Brooklyn,312,44,48,22,9,Coney Island Avenue and Avenue N,Brooklyn,12/05/2019,-73.96336177,40.61520422,X,AREA OF MINIMAL FLOOD HAZARD,,Mapleton-Midwood (West)
POINT (-73.8917446662846 40.860177651716974),2,Bronx,206,15,78,33,15,East 189th Street and Park Avenue,Bronx,06/18/2022,-73.89174467,40.86017765,X,AREA OF MINIMAL FLOOD HAZARD,,Belmont
POINT (-73.9302249289176 40.74244546113229),4,Queens,402,26,37,12,7,47th Avenue and 35th Street,Queens,01/16/2022,-73.93022482,40.74244484,X,AREA OF MINIMAL FLOOD HAZARD,,Sunnyside
POINT (-73.99282161394984 40.714364939236106),1,Manhattan,103,1,65,27,10,Pike Street with Division Street and Allen Street,Manhattan,07/28/2022,-73.99282161,40.71436494,X,AREA OF MINIMAL FLOOD HAZARD,,Chinatown-Two Bridges
POINT (-73.97346384993097 40.76365840574027),1,Manhattan,105,4,73,28,12,5th Avenue and 58th Street and Grand Army Plaza,Manhattan,07/20/2014,-73.97346363,40.76365785,X,AREA OF MINIMAL FLOOD HAZARD,,Midtown-Times Square
POINT (-73.97273031966624 40.62366663516335),3,Brooklyn,312,44,48,22,9,Bay Parkway with Avenue J and East 4th Street,Brooklyn,01/02/2020,-73.97273038,40.62366628,X,AREA OF MINIMAL FLOOD HAZARD,,Mapleton-Midwood (West)
POINT (-73.9256238440844 40.6808472634906),3,Brooklyn,303,41,56,25,8,Patchen Avenue and Chauncey Street,Brooklyn,03/04/2021,-73.92562386,40.68084673,X,AREA OF MINIMAL FLOOD HAZARD,,Bedford-Stuyvesant (East)
POINT (-73.99055994934369 40.612003756246395),3,Brooklyn,311,47,49,17,11,20 Avenue and 73 Street,Brooklyn,01/24/2023,-73.99055995,40.61200376,X,AREA OF MINIMAL FLOOD HAZARD,,Bensonhurst
POINT (-74.00430237295856 40.72484680382192),1,Manhattan,102,3,66,27,10,6th Avenue between Spring Street and Broome Street (mid-block),Manhattan,01/26/2017,-74.00430237,40.7248468,X,AREA OF MINIMAL FLOOD HAZARD,4,SoHo-Little Italy-Hudson Square
POINT (-73.82467309856986 40.772346366735164),4,Queens,407,20,40,16,6,Parsons Boulevard and 29 Avenue,Queens,01/05/2023,-73.8246731,40.77234637,X,AREA OF MINIMAL FLOOD HAZARD,,Murray Hill-Broadway Flushing
POINT (-73.9444980637543 40.6245979919406),3,Brooklyn,318,45,42,21,9,Avenue K and East 32nd Street,Brooklyn,10/25/2019,-73.94449816,40.62459758,X,AREA OF MINIMAL FLOOD HAZARD,5,Flatlands
POINT (-73.94136675673136 40.83089229985598),1,Manhattan,112,7,71,31,13,St Nicholas Avenue and West 156th Street,Manhattan,05/12/2017,-73.94136659,40.83089184,X,AREA OF MINIMAL FLOOD HAZARD,,Washington Heights (South)
POINT (-73.99587567221357 40.73868691744949),1,Manhattan,104,3,75,28,10,Avenue of the Americas and West 16th Street,Manhattan,08/08/2019,-73.99587543,40.73868638,X,AREA OF MINIMAL FLOOD HAZARD,6,Chelsea-Hudson Yards
POINT (-73.88643287248966 40.850308583858954),2,Bronx,206,15,78,32,15,Crotona Avenue between East 181st and East 182nd Streets,Bronx,09/21/2017,-73.8864328,40.85030808,X,AREA OF MINIMAL FLOOD HAZARD,,"Tremont,Belmont"
POINT (-73.87513950330505 40.75663256891353),4,Queens,403,25,34,13,14,Northern Boulevard at 93rd Street,Queens,06/03/2020,-73.8751395,40.75663257,X,AREA OF MINIMAL FLOOD HAZARD,,Jackson Heights
POINT (-73.77203373088366 40.75963742636912),4,Queens,411,19,26,16,6,Northern Boulevard at 211th Street,Queens,03/20/2014,-73.77203373,40.75963743,X,AREA OF MINIMAL FLOOD HAZARD,,Bayside
POINT (-73.87218607482072 40.68365222176879),3,Brooklyn,305,37,54,18,7,Fulton Street and Crescent Street,Brooklyn,12/09/2016,-73.87218618,40.6836516,X,AREA OF MINIMAL FLOOD HAZARD,,Cypress Hills
POINT (-73.91430901523212 40.77152353044055),4,Queens,401,22,34,12,14,24th Avenue and 33rd Street,Queens,09/14/2021,-73.91430892,40.77152292,X,AREA OF MINIMAL FLOOD HAZARD,,Astoria (North)-Ditmars-Steinway
POINT (-73.957282116402 40.603470870887705),3,Brooklyn,315,48,45,22,9,Avenue S and East 15th Street,Brooklyn,07/20/2022,-73.95728212,40.60347087,X,AREA OF MINIMAL FLOOD HAZARD,5,Madison
POINT (-73.9458697586525 40.798594378579196),1,Manhattan,111,9,68,30,13,Madison Avenue and East 114th Street pedestrian crossing (mid-block),Manhattan,07/19/2018,-73.94586959,40.79859386,X,AREA OF MINIMAL FLOOD HAZARD,5,East Harlem (North)
POINT (-73.92872032187437 40.66449581801811),3,Brooklyn,317,41,58,19,9,"East New York Avenue with East 93rd Street, Ford Street and Rochester Avenue",Brooklyn,03/15/2022,-73.92872036,40.66449531,X,AREA OF MINIMAL FLOOD HAZARD,,East Flatbush-Remsen Village
POINT (-74.13666661054378 40.64022460398047),5,Staten Island,501,49,61,23,11,Richmond Terrace and Sharpe Avenue,Staten Island,05/18/2015,-74.13666664,40.64022446,X,AREA OF MINIMAL FLOOD HAZARD,2,Port Richmond
POINT (-73.79131299613138 40.752768153168724),4,Queens,411,19,25,16,6,Hollis Court Boulevard with 189th Street and 46th Road,Queens,06/16/2021,-73.79131318,40.75276737,X,AREA OF MINIMAL FLOOD HAZARD,,Auburndale
POINT (-74.11414429753509 40.6137427421955),5,Staten Island,501,49,63,24,11,Victory Boulevard and Royal Oak Road,Staten Island,02/24/2022,-74.11414442,40.61374257,X,AREA OF MINIMAL FLOOD HAZARD,,Westerleigh-Castleton Corners
POINT (-73.96712188599653 40.798506118010195),1,Manhattan,107,7,69,30,12,Amsterdam Avenue and West 103rd Street,Manhattan,10/25/2022,-73.96712189,40.79850612,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side-Manhattan Valley
POINT (-73.86153873536334 40.833319942635285),2,Bronx,209,18,87,34,14,Hugh Grant Circle and Westchester Avenue (West),Bronx,09/07/2022,-73.86153874,40.83331994,X,AREA OF MINIMAL FLOOD HAZARD,5,Castle Hill-Unionport
POINT (-73.9215399327354 40.71679558390809),4,Queens,405,30,37,12,7,Grand Avenue and 47th Street,Queens,06/25/2021,-73.92153989,40.71679499,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,Maspeth
POINT (-73.98441370442531 40.77480950910845),1,Manhattan,107,6,67,47,12,Amsterdam Avenue and West 66th Street,Manhattan,03/15/2020,-73.98441346,40.77480899,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side-Lincoln Square
POINT (-73.98557235981627 40.57514882111936),3,Brooklyn,313,47,46,23,8,Surf Avenue and West 19 Street,Brooklyn,11/22/2022,-73.98557236,40.57514882,AE,,1,Coney Island-Sea Gate
POINT (-73.95465411218863 40.71869355259444),3,Brooklyn,301,33,50,59,7,Driggs Avenue and North 10th Street,Brooklyn,04/12/2022,-73.954654,40.718693,AE,,3,Williamsburg
POINT (-73.87451136018923 40.758594381378906),4,Queens,403,21,35,13,14,Junction Boulevard with 94th Street and 32nd Avenue,Queens,08/23/2022,-73.87451136,40.75859438,X,AREA OF MINIMAL FLOOD HAZARD,,East Elmhurst
POINT (-73.97996211245919 40.71397416992546),1,Manhattan,103,1,65,27,10,Grand Street and Lewis Street,Manhattan,06/03/2021,-73.97996196,40.71397366,X,AREA OF MINIMAL FLOOD HAZARD,4,Lower East Side
POINT (-73.80804673106924 40.68228688019928),4,Queens,410,28,31,10,5,Linden Boulevard with Lincoln Street and 134th Street,Queens,02/07/2022,-73.80804695,40.68228616,X,AREA OF MINIMAL FLOOD HAZARD,,South Ozone Park
POINT (-74.16574334850216 40.54539717055862),5,Staten Island,503,51,62,24,11,Richmond Avenue and Wilson Avenue,Staten Island,05/18/2022,-74.16574335,40.54539717,X,AREA OF MINIMAL FLOOD HAZARD,,Great Kills-Eltingville
POINT (-74.09124572459426 40.603113977951566),5,Staten Island,502,50,64,23,11,Targee Street and Naples Street (235’ North of Venice Street),Staten Island,05/07/2015,-74.09124573,40.60311398,X,AREA OF MINIMAL FLOOD HAZARD,,Grasmere-Arrochar-South Beach-Dongan Hills
POINT (-73.8412227931379 40.86785979452637),2,Bronx,212,12,83,36,15,East Gun Hill Road and Arnow Avenue,Bronx,11/22/2021,-73.84122279,40.86785925,X,AREA OF MINIMAL FLOOD HAZARD,,Eastchester-Edenwald-Baychester
POINT (-73.9808422475242 40.688760851679966),3,Brooklyn,302,35,52,26,10,Flatbush Avenue at Fulton Street and Nevins Street,Brooklyn,06/25/2012,-73.98084225,40.68876085,X,AREA OF MINIMAL FLOOD HAZARD,,Downtown Brooklyn-DUMBO-Boerum Hill
POINT (-74.08038067382223 40.62826089514523),5,Staten Island,501,49,61,23,11,Van Duzer Street and Wright Street,Staten Island,10/18/2022,-74.08038067,40.6282609,X,AREA OF MINIMAL FLOOD HAZARD,,Tompkinsville-Stapleton-Clifton-Fox Hills
POINT (-73.83173325009122 40.86877076229864),2,Bronx,210,12,82,36,14,Bartow Avenue and Baychester Avenue,Bronx,11/22/2019,-73.83173325,40.86877076,X,AREA OF MINIMAL FLOOD HAZARD,4,Co-op City
POINT (-73.93656936886502 40.670041616227586),3,Brooklyn,308,35,43,20,9,Troy Avenue and Lincoln Place,Brooklyn,11/10/2022,-73.93656937,40.67004162,X,AREA OF MINIMAL FLOOD HAZARD,,Crown Heights (North)
POINT (-73.76085109799224 40.76158549660207),4,Queens,411,19,26,16,6,Northern Boulevard and 220th Place,Queens,12/20/2021,-73.76085134,40.76158469,X,AREA OF MINIMAL FLOOD HAZARD,,Bayside
POINT (-73.83383305609411 40.875175557273984),2,Bronx,210,12,82,36,14,Baychester Avenue and 200’ South of Donizetti Place (mid-block),Bronx,12/26/2018,-73.83383306,40.87517556,X,AREA OF MINIMAL FLOOD HAZARD,6,Co-op City
POINT (-73.882628236881 40.718272156908164),4,Queens,405,30,28,15,6,Juniper Boulevard South and 74th Street,Queens,02/08/2022,-73.88262827,40.71827151,X,AREA OF MINIMAL FLOOD HAZARD,,Middle Village
POINT (-73.8518679376326 40.69359923216157),4,Queens,409,32,38,15,7,Woodhaven Boulevard East Service Road and 180’ South of Jamaica Avenue,Queens,10/23/2018,-73.85186794,40.69359923,X,AREA OF MINIMAL FLOOD HAZARD,,Woodhaven
POINT (-73.93505891551396 40.759070469498255),4,Queens,401,26,36,59,7,36th Avenue and 23rd Street,Queens,11/21/2013,-73.93505878,40.75906986,X,AREA OF MINIMAL FLOOD HAZARD,4,Queensbridge-Ravenswood-Dutch Kills
POINT (-73.93630562201561 40.82542991463052),1,Manhattan,110,9,71,30,13,7 Avenue and West 151 Street,Manhattan,12/13/2022,-73.93630562,40.82542991,X,AREA OF MINIMAL FLOOD HAZARD,2,Harlem (North)
POINT (-73.84236958893128 40.683019004879235),4,Queens,409,32,23,15,5,103 Avenue and 98 Street,Queens,04/13/2021,-73.84236959,40.683019,X,AREA OF MINIMAL FLOOD HAZARD,,Ozone Park (North)
POINT (-73.79836548716212 40.67408814035751),4,Queens,412,28,32,10,5,Rockaway Boulevard and 142nd Street,Queens,10/07/2019,-73.79836573,40.67408741,X,AREA OF MINIMAL FLOOD HAZARD,6,Baisley Park
POINT (-73.98820018851465 40.718556317815526),1,Manhattan,103,1,65,27,10,Delancey Street and Essex Street,Manhattan,06/05/2019,-73.98820001,40.71855581,X,AREA OF MINIMAL FLOOD HAZARD,,Lower East Side
POINT (-73.96595259819581 40.634264846522214),3,Brooklyn,314,40,44,21,9,Newkirk Avenue and Westminister Road,Brooklyn,10/17/2022,-73.9659526,40.63426485,X,AREA OF MINIMAL FLOOD HAZARD,6,Flatbush (West)-Ditmas Park-Parkville
POINT (-73.85968361699501 40.729145968975075),4,Queens,406,29,28,15,6,Queens Boulevard with 64th Avenue and 64th Road,Queens,03/30/2021,-73.85968368,40.72914528,X,AREA OF MINIMAL FLOOD HAZARD,,Rego Park
POINT (-73.92776111873997 40.67488644309598),3,Brooklyn,308,36,55,20,9,Rochester Avenue at Bergen Street,Brooklyn,09/03/2020,-73.92776112,40.67488644,X,AREA OF MINIMAL FLOOD HAZARD,,Crown Heights (North)
POINT (-73.95161188885108 40.69059680918268),3,Brooklyn,303,36,57,25,8,Nostrand Avenue and Kosciuszko Street,Brooklyn,10/25/2021,-73.95161184,40.6905963,X,AREA OF MINIMAL FLOOD HAZARD,,Bedford-Stuyvesant (West)
POINT (-73.9927242758811 40.71384342862351),1,Manhattan,103,1,65,27,10,Pike Street and East Broadway,Manhattan,07/11/2022,-73.99272428,40.71384343,X,AREA OF MINIMAL FLOOD HAZARD,,Chinatown-Two Bridges
POINT (-73.91072377304013 40.83899702861189),2,Bronx,204,16,77,32,15,Morris Avenue and East 171st Street,Bronx,02/08/2022,-73.91072366,40.83899654,X,AREA OF MINIMAL FLOOD HAZARD,,Mount Eden-Claremont (West)
POINT (-73.83383305609411 40.875175557273984),2,Bronx,210,12,82,36,14,Baychester Avenue and Donizetti Place,Bronx,06/03/2022,-73.83383306,40.87517556,X,AREA OF MINIMAL FLOOD HAZARD,6,Co-op City
POINT (-73.9655103832091 40.68134366168775),3,Brooklyn,308,35,44,25,7,Atlantic Avenue and Waverly Avenue,Brooklyn,08/25/2020,-73.96551033,40.68134319,X,AREA OF MINIMAL FLOOD HAZARD,,Prospect Heights
POINT (-74.0781993348794 40.64211534718715),5,Staten Island,501,49,61,23,11,St Marks Place and Fort Place,Staten Island,10/18/2022,-74.07819933,40.64211535,X,AREA OF MINIMAL FLOOD HAZARD,,St. George-New Brighton
POINT (-73.83905914272965 40.68623953427476),4,Queens,409,28,38,15,5,101 Avenue and 104 Street,Queens,06/21/2022,-73.83905914,40.68623953,X,AREA OF MINIMAL FLOOD HAZARD,,Ozone Park (North)
POINT (-73.90242207792323 40.89099676586048),2,Bronx,208,11,81,33,15,Manhattan College Parkway and Waldo Avenue,Bronx,11/22/2019,-73.90242196,40.89099636,X,AREA OF MINIMAL FLOOD HAZARD,,Riverdale-Spuyten Duyvil
POINT (-73.91310591874992 40.888315103618865),2,Bronx,208,11,81,33,15,Independence Avenue and West 237 Street,Bronx,02/21/2023,-73.91310592,40.8883151,X,AREA OF MINIMAL FLOOD HAZARD,,Riverdale-Spuyten Duyvil
POINT (-74.01702051673163 40.60765512854072),3,Brooklyn,310,43,46,26,11,Cropsey Avenue and 14th Avenue,Brooklyn,07/28/2022,-74.01702052,40.60765513,X,AREA OF MINIMAL FLOOD HAZARD,5,Dyker Beach Park
POINT (-73.99487654700907 40.75277917484754),1,Manhattan,104,3,75,47,12,West 34th Street between 8th Avenue and 9th Avenue (mid-block),Manhattan,02/07/2012,-73.99487628,40.75277862,X,AREA OF MINIMAL FLOOD HAZARD,,Chelsea-Hudson Yards
POINT (-73.93908513405158 40.75748620844583),4,Queens,401,26,36,59,7,21st Street and 38th Avenue,Queens,10/10/2019,-73.93908499,40.7574856,X,AREA OF MINIMAL FLOOD HAZARD,4,Queensbridge-Ravenswood-Dutch Kills
POINT (-73.89232534475624 40.84985261937608),2,Bronx,206,15,86,32,15,East 180 Street and La Fontaine Avenue,Bronx,12/16/2022,-73.89232534,40.84985262,X,AREA OF MINIMAL FLOOD HAZARD,,Tremont
POINT (-73.97004595822648 40.80226492848382),1,Manhattan,107,6,69,30,12,Riverside Drive and West 106th Street,Manhattan,12/04/2018,-73.97004574,40.80226445,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side-Manhattan Valley
POINT (-73.78545171100333 40.73912857757044),4,Queens,408,23,25,16,6,64th Avenue (East Leg) and 188th Street,Queens,08/18/2021,-73.78545192,40.73912779,X,AREA OF MINIMAL FLOOD HAZARD,,Fresh Meadows-Utopia
POINT (-73.94357217241846 40.62469909378591),3,Brooklyn,318,45,41,21,9,Avenue K and New York Avenue,Brooklyn,04/15/2021,-73.94357227,40.62469868,X,AREA OF MINIMAL FLOOD HAZARD,5,Flatlands
POINT (-74.19275068011781 40.55408627412147),5,Staten Island,503,51,62,24,11,Arden Avenue and Nedra Lane,Staten Island,08/02/2022,-74.19275068,40.55408627,X,AREA OF MINIMAL FLOOD HAZARD,,Arden Heights-Rossville
POINT (-73.87687613470149 40.7505301169402),4,Queens,403,25,34,13,14,37th Avenue and 90th Street,Queens,06/28/2022,-73.87687613,40.75053012,X,AREA OF MINIMAL FLOOD HAZARD,,Jackson Heights
POINT (-73.9493766329003 40.60922898784322),3,Brooklyn,315,48,41,22,9,Quentin Road at East 24th Street,Brooklyn,06/26/2020,-73.94937663,40.60922899,X,AREA OF MINIMAL FLOOD HAZARD,5,Madison
POINT (-73.95973806513773 40.663360740007484),3,Brooklyn,309,35,57,20,9,Empire Boulevard and McKeever Place,Brooklyn,02/12/2020,-73.95973806,40.66336029,X,AREA OF MINIMAL FLOOD HAZARD,,Prospect Lefferts Gardens-Wingate
POINT (-73.8605802209273 40.83867784245682),2,Bronx,209,18,87,34,14,Aileen B Ryan Oval with Unionport Road West,Bronx,07/01/2022,-73.86058022,40.83867784,X,AREA OF MINIMAL FLOOD HAZARD,,Parkchester
POINT (-73.96635027550079 40.630753650527566),3,Brooklyn,314,45,44,21,9,Coney Island Avenue between Avenue H and Glenwood Road (mid-block),Brooklyn,03/28/2020,-73.96635033,40.63075327,X,AREA OF MINIMAL FLOOD HAZARD,,Flatbush (West)-Ditmas Park-Parkville
POINT (-73.9162994535635 40.67857643572029),3,Brooklyn,316,41,55,25,8,Fulton Street and Saratoga Avenue,Brooklyn,10/09/2020,-73.91629949,40.67857589,X,AREA OF MINIMAL FLOOD HAZARD,,Ocean Hill
POINT (-73.85779434451598 40.679455059059364),4,Queens,410,32,23,15,7,Liberty Avenue and 80th Street S/B,Queens,06/14/2021,-73.85779448,40.67945442,X,AREA OF MINIMAL FLOOD HAZARD,4,Ozone Park
POINT (-73.91954340351138 40.63147224637453),3,Brooklyn,318,46,59,21,9,Flatlands Avenue and East 59 Street,Brooklyn,12/28/2022,-73.9195434,40.63147225,X,AREA OF MINIMAL FLOOD HAZARD,3,Flatlands
POINT (-73.83195718368482 40.76295444188176),4,Queens,407,20,40,16,6,Main Street and Northern Boulevard,Queens,11/23/2016,-73.83195727,40.76295372,X,AREA OF MINIMAL FLOOD HAZARD,5,Flushing-Willets Point
POINT (-73.73946942310567 40.75724277545529),4,Queens,411,19,26,11,3,Long Island Expressway North SR and Douglaston Parkway,Queens,10/06/2022,-73.73946942,40.75724278,X,AREA OF MINIMAL FLOOD HAZARD,,Douglaston-Little Neck
POINT (-73.86072608494516 40.71199519933418),4,Queens,405,30,28,15,6,Metropolitan Avenue and Aubrey Avenue,Queens,11/01/2021,-73.86072617,40.71199453,X,AREA OF MINIMAL FLOOD HAZARD,,Glendale
POINT (-73.94415076017111 40.678156860289924),3,Brooklyn,303,36,56,20,8,Atlantic Avenue and Brooklyn Avenue,Brooklyn,08/08/2018,-73.94415075,40.67815636,X,AREA OF MINIMAL FLOOD HAZARD,,Crown Heights (North)
POINT (-73.77571563099849 40.71460035728317),4,Queens,408,24,24,11,5,Hillside Avenue with 187th Street and Chelsea Street,Queens,10/06/2021,-73.77571588,40.71459957,X,AREA OF MINIMAL FLOOD HAZARD,,Jamaica Estates-Holliswood
POINT (-73.98314826472466 40.738831243444906),1,Manhattan,106,2,74,59,12,3rd Avenue and East 23rd Street,Manhattan,08/15/2018,-73.98314805,40.73883069,X,AREA OF MINIMAL FLOOD HAZARD,5,Gramercy
POINT (-73.98862728395476 40.77411557573466),1,Manhattan,107,6,67,47,12,West End Avenue and West 63rd Street,Manhattan,06/04/2019,-73.98862703,40.77411506,X,AREA OF MINIMAL FLOOD HAZARD,6,Upper West Side-Lincoln Square
POINT (-73.94488011433927 40.834061418627186),1,Manhattan,112,7,71,31,13,West 157th Street with Edward Morgan Place and Broadway,Manhattan,02/11/2022,-73.94487994,40.83406097,X,AREA OF MINIMAL FLOOD HAZARD,,Washington Heights (South)
POINT (-73.862548251497 40.82370228693511),2,Bronx,209,18,85,34,14,Story Avenue at Thieriot Avenue,Bronx,09/02/2020,-73.86254825,40.82370229,X,AREA OF MINIMAL FLOOD HAZARD,4,Soundview-Clason Point
POINT (-74.08574862449544 40.63395520113304),5,Staten Island,501,49,61,23,11,Victory Boulevard and Cebra Avenue,Staten Island,06/10/2022,-74.08574862,40.6339552,X,AREA OF MINIMAL FLOOD HAZARD,,West New Brighton-Silver Lake-Grymes Hill
POINT (-74.00392081711081 40.707240150187594),1,Manhattan,101,1,65,27,10,Water Street and Fulton Street,Manhattan,10/06/2016,-74.00392064,40.70723969,AE,,1,Financial District-Battery Park City
POINT (-74.16291491384703 40.62681195552141),5,Staten Island,501,49,63,23,11,Forest Avenue and 475' west of Amity Place,Staten Island,12/10/2022,-74.16291491,40.62681196,X,AREA OF MINIMAL FLOOD HAZARD,3,Mariner's Harbor-Arlington-Graniteville
POINT (-73.98047218728554 40.7831611261261),1,Manhattan,107,6,67,47,12,Broadway and West 78th Street,Manhattan,06/27/2019,-73.98047195,40.78316062,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side (Central)
POINT (-73.72109332155127 40.7562810834934),4,Queens,413,23,26,11,3,Grand Central Parkway and 267th Street,Queens,03/15/2021,-73.72109353,40.75628026,X,AREA OF MINIMAL FLOOD HAZARD,,Glen Oaks-Floral Park-New Hyde Park
POINT (-73.93000181471612 40.86210420520258),1,Manhattan,112,10,72,31,13,Broadway and Sherman Avenue,Manhattan,08/25/2019,-73.93000166,40.86210379,X,AREA OF MINIMAL FLOOD HAZARD,6,Washington Heights (North)
POINT (-73.95414125092393 40.58310631278898),3,Brooklyn,315,48,45,23,8,Neptune Avenue and Shore Boulevard,Brooklyn,06/23/2018,-73.95414142,40.58310599,AE,,1,Sheepshead Bay-Manhattan Beach-Gerritsen Beach
POINT (-73.97268249947659 40.652640233502694),3,Brooklyn,355,39,44,20,10,Prospect Park Southwest and Greenwood Avenue,Brooklyn,11/22/2022,-73.9726825,40.65264023,X,AREA OF MINIMAL FLOOD HAZARD,,Prospect Park
POINT (-73.97659149538933 40.687184574851145),3,Brooklyn,302,35,57,26,7,Fulton Street with Lafayette Avenue and Fort Greene Place,Brooklyn,01/18/2017,-73.97659141,40.68718411,X,AREA OF MINIMAL FLOOD HAZARD,,Fort Greene
POINT (-73.79854578337715 40.70398933281068),4,Queens,412,27,32,14,5,Jamaica Avenue and 161st Street,Queens,08/04/2022,-73.79854578,40.70398933,X,AREA OF MINIMAL FLOOD HAZARD,,Jamaica
POINT (-74.1663140338573 40.58821950980968),5,Staten Island,502,51,63,24,11,Richmond Hill Road and Melville Plaza (between Richmond Avenue and Racal Court),Staten Island,01/19/2023,-74.16631403,40.58821951,X,AREA OF MINIMAL FLOOD HAZARD,4,New Springville-Willowbrook-Bulls Head-Travis
POINT (-73.97421655764227 40.590111780531686),3,Brooklyn,315,47,45,23,8,"86th Street with McDonald Avenue, Avenue X and Shell Road",Brooklyn,08/04/2021,-73.97421669,40.59011149,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3,Gravesend (East)-Homecrest
POINT (-73.87208448560762 40.71599036204361),4,Queens,405,30,28,15,6,Juniper Valley Road and 80th Street,Queens,09/07/2022,-73.87208449,40.71599036,X,AREA OF MINIMAL FLOOD HAZARD,,Middle Village
POINT (-73.86471656896325 40.87683464220484),2,Bronx,212,12,83,36,15,East Gun Hill Road with Holland Avenue and Tilden Street,Bronx,01/09/2020,-73.86471652,40.87683415,X,AREA OF MINIMAL FLOOD HAZARD,,Williamsbridge-Olinville
POINT (-73.8620289020319 40.821509229408704),2,Bronx,209,18,85,34,14,Lafayette Avenue and Thieriot Avenue,Bronx,11/17/2021,-73.86202889,40.82150864,X,AREA OF MINIMAL FLOOD HAZARD,4,Soundview-Clason Point
POINT (-73.978624210491 40.68983869789658),3,Brooklyn,302,35,57,26,7,Dekalb Avenue and Ashland Place,Brooklyn,05/03/2022,-73.97862421,40.6898387,X,AREA OF MINIMAL FLOOD HAZARD,,Fort Greene
POINT (-73.91069452628771 40.85001972827011),2,Bronx,205,14,77,33,15,Jerome Avenue and West 177th Street,Bronx,12/01/2019,-73.91069441,40.85001926,X,AREA OF MINIMAL FLOOD HAZARD,,University Heights (South)-Morris Heights
POINT (-74.00468714496174 40.73032085299893),1,Manhattan,102,3,66,27,10,7th Avenue South and Leroy Street,Manhattan,12/21/2019,-74.00468691,40.73032035,X,AREA OF MINIMAL FLOOD HAZARD,4,West Village
POINT (-73.73298501145635 40.71256042380077),4,Queens,413,27,33,14,5,Hempstead Avenue and 221st Street,Queens,10/07/2016,-73.73298528,40.7125596,X,AREA OF MINIMAL FLOOD HAZARD,,Queens Village
POINT (-74.00647846861222 40.71123092114792),1,Manhattan,101,1,65,27,10,Beekman Street and Nassau Street,Manhattan,08/27/2016,-74.00647828,40.71123046,X,AREA OF MINIMAL FLOOD HAZARD,5,Financial District-Battery Park City
POINT (-73.97833379862904 40.69614110925761),3,Brooklyn,302,35,57,25,7,Park Avenue and Saint Edwards Street,Brooklyn,12/11/2020,-73.97833369,40.69614063,X,AREA OF MINIMAL FLOOD HAZARD,5,Fort Greene
POINT (-73.92601241626458 40.86357246192786),1,Manhattan,112,10,72,31,13,Dyckman Street and Sherman Avenue,Manhattan,09/21/2022,-73.92601242,40.86357246,X,AREA OF MINIMAL FLOOD HAZARD,4,Washington Heights (North)
POINT (-73.98978858860943 40.71009386096166),1,Manhattan,103,1,65,27,10,South Street and Rutgers Slip,Manhattan,11/18/2022,-73.98978859,40.71009386,AE,,1,Chinatown-Two Bridges
POINT (-73.93286218476258 40.85050638219008),1,Manhattan,112,10,72,31,13,St Nicholas Avenue and West 183rd Street,Manhattan,06/24/2022,-73.93286218,40.85050638,X,AREA OF MINIMAL FLOOD HAZARD,,Washington Heights (North)
